Outcop Name,well #,Depositional Environment,Depositional Element,X,Y,Bed ID,Data Type,Rock Type,Grain Size,Thickness (m),Bed Dip,Total Runout Length,Bed Termination,Rock Type (5 m right) ,Grain Size (5 m right),Thickness (m) (5 m right),Bed Dip (5 m right),Runout Length,Bed Termination,Rock Type (5 m left) ,Grain Size (5 m left),Thickness (m) (5 m left),Bed Dip (5 m left),Runout Length,Bed Termination,,,
Access,1,Delta,distal delta front,1528.299,402.441,1,apparent dip,20-Sandstone structureless,very fine sand upper,0.335,1.17,2927.02,,20-Sandstone structureless,very fine sand upper,0.346,1,1967.1,,20-Sandstone structureless,very fine sand upper,0.276,3,959.92,truncated,,,
Access,2,Delta,distal delta front,1688.01,374.864,1,apparent dip,20-Sandstone structureless,very fine sand upper,0.327,2.26,2927.02,,20-Sandstone structureless,very fine sand upper,0.261,2.43,1803.3,,20-Sandstone structureless,very fine sand upper,0.327,1.37,1123.72,truncated,,left-outcrop extent-goes to FP truncated,
Access,4,Delta,distal delta front,1988.868,329.133,1,apparent dip,20-Sandstone structureless,very fine sand upper,0.481,3.29,2927.02,,20-Sandstone structureless,very fine sand upper,0.345,5.5,1498.39,,20-Sandstone structureless,very fine sand upper,0.433,0.74,1428.63,truncated,,left-outcrop extent-foes to FP truncated,
Access,5,Delta,distal delta front,2124,277.6,1,apparent dip,20-Sandstone structureless,very fine sand upper,0.263,1.16,2927.02,,20-Sandstone structureless,very fine sand upper,0.255,2.31,1331.44,,20-Sandstone structureless,very fine sand upper,0.305,1.57,1595.58,truncated,,left-outcrop extent-goes to FP where truncated,right-outcrop extent
Access,7,Delta,prodelta,2431.77,326.14,1,apparent dip,20-Sandstone structureless,very fine sand lower,0.22,2.21,2927.02,,20-Sandstone structureless,very fine sand lower,0.25,0.66,1006.54,,20-Sandstone structureless,very fine sand lower,0.23,3.4,1920.48,truncated,,left-outcrop extent,right outcrop extet
Access,8,Delta,distal delta front,2577.7,370.7,1,apparent dip,17-Sandstone Stratified,very fine sand upper,0.471,0,2927.02,,17-Sandstone Stratified,very fine sand upper,N/A,N/A,850.93,,17-Sandstone Stratified,very fine sand upper,0.421,0,2076.09,truncated,,,
Access,9,Delta,distal delta front,2714.5,309.4,1,apparent dip,20-Sandstone structureless,very fine sand lower,0.532,1.87,2927.02,,20-Sandstone structureless,very fine sand lower,0.429,0.46,685.29,,20-Sandstone structureless,very fine sand lower,0.563,0.25,2241.73,truncated,,,
Access,10,Delta,distal delta front,2884.7,349.5,1,apparent dip,17-Sandstone Stratified,very fine sand upper,0.602,1.94,2926.21,,17-Sandstone Stratified,very fine sand upper,0.579,0.64,444.09,,17-Sandstone Stratified,very fine sand upper,0.582,0.35,2482.12,truncated,,left-outcrop extent-goes to FP where truncated,right-outcrop extent
Access,12,Delta,distal delta front,3179.6,251.8,1,apparent dip,20-Sandstone structureless,very fine sand upper,0.555,2.56,2927.02,,20-Sandstone structureless,very fine sand upper,0.567,2.47,131.2,,20-Sandstone structureless,very fine sand upper,0.471,2.27,2795.82,truncated,,left-outcrop extent-goes to FP where truncated,right-outcrop extent
Fishpond,1,Delta,prximal delta front,1079.4,1337.48,1,apparent dip,20-Sandstone structureless,fine sand lower,1.284,1.7,2937.02,,20-Sandstone structureless,fine sand lower,1.083,0.75,2853.2,,20-Sandstone structureless,fine sand lower,1.283,1.89,83.82,truncated,,right-outcrop extent access,
Fishpond,2,Delta,prximal delta front,1183.3,1229.45,1,apparent dip,20-Sandstone structureless,fine sand lower,2.033,2.1,2931.43,,20-Sandstone structureless,fine sand lower,2.003,3.2,2701.2,,20-Sandstone structureless,fine sand lower,1.935,2.84,230.23,truncated,,right sde goes to access,
Fishpond,3,Delta,prximal delta front,1267.21,1102.65,1,apparent dip,17-Sandstone Stratified,fine sand lower,1.74,1.5,2926.2,,17-Sandstone Stratified,fine sand lower,1.678,2.8,2549.2,,17-Sandstone Stratified,fine sand lower,1.743,1.34,377,,left goes to end of outcorp,right-end of access,
Fishpond,4,Delta,prximal delta front,1403.75,1038.5,1,apparent dip,17-Sandstone Stratified,fine sand lower,1.779,3.55,2927.9,,17-Sandstone Stratified,fine sand lower,1.519,1.6,2397.2,,17-Sandstone Stratified,fine sand lower,1.594,1.73,530.7,,left-outcrop extent,right goes to end of access,
Fishpond,5,Delta,distal delta front,1522.64,947.21,1,apparent dip,17-Sandstone Stratified,very fine sand upper,0.686,3.01,2985.68,,17-Sandstone Stratified,very fine sand upper,0.625,2.83,2291.53,,17-Sandstone Stratified,very fine sand upper,0.677,3.44,694.15,,left- outcrop extent,right goes to end of access,
